"Constituency Name","Status","Total Electorate","Total Valid Votes","Total Invalid Votes","Registered to Postal Vote","Postal votes received","Spoiled Postal Votes","Result","First Party","majority","con","lab","ld","brexit","green","snp","pc","dup","sf","sdlp","uup","alliance","other","MP fullname","majority percent","majority rank","turnout constituency","turnout region","turnout UK","turnout 2017","turnout diff","country_name","region_name","county name","constituency type"
"Wansbeck",,63339,40509,119,,,,"Lab hold","Lab",814,16310,17124,2539,3141,1217,0,0,0,0,0,0,0,178,"Ian Lavery",0.0200943,624,0.6395585658,0.6420708291,0.6731083108,0.6830783093,-0.0435197435,"England","North East","Northumberland","County"
"Wantage",,90867,67173,306,,,,"Con hold","Con",12653,34085,10181,21432,0,0,0,0,0,0,0,0,0,1475,"David Johnston",0.1883643726,380,0.7392452706,0.7020660823,0.6731083108,0.7414030261,-0.0021577556,"England","South East","Oxfordshire","County"
"Warley","Data received",62357,37239,142,6965,5559,142,"Lab hold","Lab",11511,10390,21901,1588,2469,891,0,0,0,0,0,0,0,0,"John Spellar",0.3091114155,238,0.5971903716,0.6466253903,0.6731083108,0.6307911953,-0.0336008238,"England","West Midlands","West Midlands","Borough"
"Warrington North","FOI request sent to Warrington Borough Council. Awaiting response.",72235,46667,169,,,,"Lab hold","Lab",1509,19102,20611,3071,2626,1257,0,0,0,0,0,0,0,0,"Charlotte Nichols",0.0323354833,608,0.6460441614,0.6562356075,0.6731083108,0.6746155344,-0.0285713729,"England","North West","Cheshire","Borough"
"Warrington South","FOI request sent to Warrington Borough Council. Awaiting response.",86015,61899,187,,,,"Con gain from Lab","Con",2010,28187,26177,5732,1635,0,0,0,0,0,0,0,0,168,"Andy Carter",0.0324722532,606,0.719630297,0.6562356075,0.6731083108,0.7240968499,-0.0044665529,"England","North West","Cheshire","Borough"
"Warwick and Leamington",,76362,54205,128,,,,"Lab hold","Lab",789,22929,23718,4995,807,1536,0,0,0,0,0,0,0,220,"Matt Western",0.0145558528,630,0.7098425919,0.6466253903,0.6731083108,0.728140954,-0.0182983621,"England","West Midlands","Warwickshire","Borough"
"Washington and Sunderland West",,66278,37513,108,,,,"Lab hold","Lab",3723,12218,15941,2071,5439,1005,0,0,0,0,0,0,0,839,"Sharon Hodgson",0.0992455949,512,0.5659947494,0.6420708291,0.6731083108,0.6030618312,-0.0370670818,"England","North East","Tyne and Wear","Borough"
"Watford","FOI request sent to Watford Borough Council. Awaiting response.",83359,58065,263,,,,"Con hold","Con",4433,26421,21988,9323,0,0,0,0,0,0,0,0,0,333,"Dean Russell",0.0763454749,551,0.6965654578,0.682459959,0.6731083108,0.6775174263,0.0190480315,"England","East","Hertfordshire","Borough"
"Waveney",,82791,51129,175,,,,"Con hold","Con",18002,31778,13776,2603,0,2727,0,0,0,0,0,0,0,245,"Peter Aldous",0.352089812,183,0.6175671269,0.682459959,0.6731083108,0.6522045986,-0.0346374718,"England","East","Suffolk","County"
"Wealden",,82998,60907,365,,,,"Con hold","Con",25655,37043,9377,11388,0,3099,0,0,0,0,0,0,0,0,"Nusrat Ghani",0.4212159522,100,0.7338369599,0.7020660823,0.6731083108,0.7425729199,-0.0087359599,"England","South East","East Sussex","County"
"Weaver Vale",,70551,50713,113,,,,"Lab hold","Lab",562,22210,22772,3300,1380,1051,0,0,0,0,0,0,0,0,"Mike Amesbury",0.0110819711,636,0.7188133407,0.6562356075,0.6731083108,0.7333516866,-0.0145383459,"England","North West","Cheshire","County"
"Wellingborough","FOI request sent to Wellingborough Borough Council. Awaiting response.",80765,51913,235,,,,"Con hold","Con",18540,32277,13737,4078,0,1821,0,0,0,0,0,0,0,0,"Peter Bone",0.3571359775,173,0.6427660497,0.671701752,0.6731083108,0.6717642012,-0.0289981515,"England","East Midlands","Northamptonshire","County"
"Wells",,81898,61628,216,,,,"Con hold","Con",9991,33336,4304,23345,0,0,0,0,0,0,0,0,0,643,"James Heappey",0.1621178685,422,0.7524970085,0.7201911041,0.6731083108,0.7379291943,0.0145678142,"England","South West","Somerset","County"
"Welwyn Hatfield","FOI request sent to Welwyn Hatfield Borough Council. Awaiting response.",74892,52053,226,,,,"Con hold","Con",10955,27394,16439,6602,0,1618,0,0,0,0,0,0,0,0,"Grant Shapps",0.2104585711,356,0.6950408588,0.682459959,0.6731083108,0.7088821205,-0.0138412617,"England","East","Hertfordshire","County"
"Wentworth and Dearne","Data received",74536,41557,127,16416,12823,281,"Lab hold","Lab",2165,14577,16742,1705,7019,0,0,0,0,0,0,0,0,1514,"John Healey",0.0520971196,583,0.5575426639,0.6434715273,0.6731083108,0.5868206703,-0.0292780064,"England","Yorkshire and The Humber","South Yorkshire","County"
"West Aberdeenshire and Kincardine",,72640,53345,114,,,,"Con hold","Con",843,22752,2431,6253,0,0,21909,0,0,0,0,0,0,0,"Andrew Bowie",0.0158027931,628,0.734375,0.6807359681,0.6731083108,0.7122949349,0.0220800651,"Scotland","Scotland","Scotland","County"
"West Bromwich East","Data received",62046,35975,104,5997,4821,104,"Con gain from Lab","Con",1593,16804,15211,1313,1475,627,0,0,0,0,0,0,0,545,"Nicola Richards",0.0442807505,587,0.5798117526,0.6466253903,0.6731083108,0.6123797889,-0.0325680363,"England","West Midlands","West Midlands","Borough"
"West Bromwich West","Data received",64517,34459,84,6682,5350,84,"Con gain from Lab Coop","Con",3799,17419,13620,915,1841,664,0,0,0,0,0,0,0,0,"Shaun Bailey",0.1102469602,491,0.5341072896,0.6466253903,0.6731083108,0.5471523641,-0.0130450745,"England","West Midlands","West Midlands","Borough"
"West Dorset","Data received",81897,60925,237,12646,11128,186,"Con hold","Con",14106,33589,5729,19483,0,2124,0,0,0,0,0,0,0,0,"Chris Loder",0.2315305704,332,0.7439222438,0.7201911041,0.6731083108,0.7243579615,0.0195642823,"England","South West","Dorset","County"
"West Dunbartonshire","Data received",66517,45140,104,8170,7085,104,"SNP hold","SNP",9553,6436,12843,1890,0,867,22396,0,0,0,0,0,0,708,"Martin Docherty-Hughes",0.2116304829,352,0.6786235098,0.6807359681,0.6731083108,0.6520960918,0.026527418,"Scotland","Scotland","Scotland","County"
"West Ham",,97947,60200,317,,,,"Lab hold","Lab",32388,9793,42181,4161,1679,1780,0,0,0,0,0,0,0,606,"Lyn Brown",0.5380066445,32,0.6146181098,0.6746963605,0.6731083108,0.6568850224,-0.0422669126,"England","London","London","Borough"
"West Lancashire",,73347,52663,170,,,,"Lab hold","Lab",8336,19122,27458,2560,2275,1248,0,0,0,0,0,0,0,0,"Rosie Cooper",0.1582895012,427,0.7179980095,0.6562356075,0.6731083108,0.7424409954,-0.0244429859,"England","North West","Lancashire","County"
"West Suffolk","FOI request sent to West Suffolk Council. Awaiting response.",80193,51437,336,,,,"Con hold","Con",23194,33842,10648,4685,0,2262,0,0,0,0,0,0,0,0,"Matthew Hancock",0.4509205436,67,0.6414150861,0.682459959,0.6731083108,0.6690024306,-0.0275873445,"England","East","Suffolk","County"
"West Tyrone","Found some info on EONI site. Waiting for full data.",66259,41186,189,1536,,,"SF hold","SF",7478,0,0,0,0,521,0,0,9066,16544,7330,2774,3979,972,"Órfhlaith Begley",0.1815665517,387,0.6215910291,0.617506111,0.6731083108,0.6793732131,-0.057782184,"Northern Ireland","Northern Ireland","Northern Ireland","County"
"West Worcestershire",,76241,57530,296,,,,"Con hold","Con",24499,34909,9496,10410,0,2715,0,0,0,0,0,0,0,0,"Harriett Baldwin",0.425847384,90,0.7545808686,0.6466253903,0.6731083108,0.7592739496,-0.004693081,"England","West Midlands","Hereford and Worcester","County"
"Westminster North",,65519,42911,133,,,,"Lab hold","Lab",10759,12481,23240,5593,418,1064,0,0,0,0,0,0,0,115,"Karen Buck",0.2507282515,302,0.6549397885,0.6746963605,0.6731083108,0.6781160918,-0.0231763034,"England","London","London","Borough"
"Westmorland and Lonsdale",,67789,52712,141,,,,"LD hold","LD",1934,23861,2293,25795,763,0,0,0,0,0,0,0,0,0,"Timothy Farron",0.0366899378,601,0.7775892844,0.6562356075,0.6731083108,0.7785241976,-0.0009349132,"England","North West","Cumbria","County"
"Weston-Super-Mare",,82526,55614,255,,,,"Con hold","Con",17121,31983,14862,6935,0,1834,0,0,0,0,0,0,0,0,"John Penrose",0.3078541374,241,0.6738967113,0.7201911041,0.6731083108,0.6868486413,-0.0129519299,"England","South West","Avon","County"
"Wigan","FOI request sent to Wigan Metropolitan Borough Council. Awaiting response.",75680,45042,134,,,,"Lab hold","Lab",6728,14314,21042,2428,5959,1299,0,0,0,0,0,0,0,0,"Lisa Nandy",0.1493716975,437,0.5951638478,0.6562356075,0.6731083108,0.6308735519,-0.0357097042,"England","North West","Greater Manchester","County"
"Wimbledon","Data received",68240,53027,217,12943,11356,162,"Con hold","Con",628,20373,12543,19745,0,0,0,0,0,0,0,0,0,366,"Stephen Hammond",0.0118430234,635,0.7770662368,0.6746963605,0.6731083108,0.7715783169,0.00548792,"England","London","London","Borough"
"Winchester",,75582,58890,210,,,,"Con hold","Con",985,28430,2723,27445,0,0,0,0,0,0,0,0,0,292,"Stephen Brine",0.0167260995,626,0.7791537668,0.7020660823,0.6731083108,0.7883912438,-0.009237477,"England","South East","Hampshire","County"
"Windsor",,75038,53750,201,,,,"Con hold","Con",20079,31501,8147,11422,0,1796,0,0,0,0,0,0,0,884,"Adam Afriyie",0.3735627907,153,0.7163037394,0.7020660823,0.6731083108,0.7326720565,-0.0163683171,"England","South East","Berkshire","County"
"Wirral South","FOI request sent to Wirral Metropolitan Borough Council. Awaiting response.",57280,43547,112,,,,"Lab hold","Lab",6105,16179,22284,2917,1219,948,0,0,0,0,0,0,0,0,"Alison McGovern",0.1401933543,448,0.760247905,0.6562356075,0.6731083108,0.7836830241,-0.0234351191,"England","North West","Merseyside","County"
"Wirral West","FOI request sent to Wirral Metropolitan Borough Council. Awaiting response.",55550,42918,107,,,,"Lab hold","Lab",3003,17692,20695,2706,860,965,0,0,0,0,0,0,0,0,"Margaret Greenwood",0.0699706417,559,0.7726012601,0.6562356075,0.6731083108,0.7849093669,-0.0123081068,"England","North West","Merseyside","County"
"Witham","Data received",70402,49344,209,11146,9310,103,"Con hold","Con",24082,32876,8794,4584,0,3090,0,0,0,0,0,0,0,0,"Priti Patel",0.4880431258,44,0.7008891793,0.682459959,0.6731083108,0.7122235561,-0.0113343768,"England","East","Essex","County"
"Witney",,83845,61305,392,,,,"Con hold","Con",15177,33856,8770,18679,0,0,0,0,0,0,0,0,0,0,"Robert Courts",0.2475654514,306,0.7311706124,0.7020660823,0.6731083108,0.7364826477,-0.0053120353,"England","South East","Oxfordshire","County"
"Woking","FOI request sent to Woking Borough Council. Awaiting response.",75424,53937,177,,,,"Con hold","Con",9767,26396,8827,16629,0,1485,0,0,0,0,0,0,0,600,"Jonathan Lord",0.1810816323,389,0.7151172041,0.7020660823,0.6731083108,0.725298674,-0.01018147,"England","South East","Surrey","County"
"Wokingham","Data received",83953,61997,219,16291,13899,214,"Con hold","Con",7383,30734,6450,23351,0,1382,0,0,0,0,0,0,0,80,"John Redwood",0.1190864074,472,0.7384727169,0.7020660823,0.6731083108,0.7545094867,-0.0160367698,"England","South East","Berkshire","County"
"Wolverhampton North East","FOI request sent to Wolverhampton City Council. Awaiting response.",61660,34281,92,,,,"Con gain from Lab","Con",4080,17722,13642,960,1354,603,0,0,0,0,0,0,0,0,"Jane Stevenson",0.1190163648,474,0.5559682128,0.6466253903,0.6731083108,0.6007569524,-0.0447887397,"England","West Midlands","West Midlands","Borough"
"Wolverhampton South East","FOI request sent to Wolverhampton City Council. Awaiting response.",62883,33443,78,,,,"Lab hold","Lab",1235,14287,15522,1019,2094,521,0,0,0,0,0,0,0,0,"Pat McFadden",0.0369285052,600,0.5318289522,0.6466253903,0.6731083108,0.6020464006,-0.0702174484,"England","West Midlands","West Midlands","Borough"
"Wolverhampton South West","FOI request sent to Wolverhampton City Council. Awaiting response.",60534,41136,148,,,,"Con gain from Lab","Con",1661,19864,18203,2041,1028,0,0,0,0,0,0,0,0,0,"Stuart Anderson",0.0403782575,596,0.6795519873,0.6466253903,0.6731083108,0.7061079522,-0.0265559649,"England","West Midlands","West Midlands","Borough"
"Worcester",,73485,50898,174,,,,"Con hold","Con",6758,25856,19098,3666,0,1694,0,0,0,0,0,0,0,584,"Robin Walker",0.1327753546,455,0.6926311492,0.6466253903,0.6731083108,0.695911656,-0.0032805068,"England","West Midlands","Hereford and Worcester","Borough"
"Workington",,61370,41599,93,,,,"Con gain from Lab","Con",4176,20488,16312,1525,1749,596,0,0,0,0,0,0,0,929,"Mark Jenkinson",0.1003870285,508,0.6778393352,0.6562356075,0.6731083108,0.6915456733,-0.0137063381,"England","North West","Cumbria","County"
"Worsley and Eccles South",,75219,44707,118,,,,"Lab hold","Lab",3219,17227,20446,2510,3224,1300,0,0,0,0,0,0,0,0,"Barbara Keeley",0.0720021473,558,0.5943578085,0.6562356075,0.6731083108,0.6193868827,-0.0250290742,"England","North West","Greater Manchester","County"
"Worthing West","FOI request sent to Worthing Borough Council. Awaiting response.",78585,54648,274,,,,"Con hold","Con",14823,30475,15652,6024,0,2008,0,0,0,0,0,0,0,489,"Peter Bottomley",0.2712450593,281,0.6953998855,0.7020660823,0.6731083108,0.7009401083,-0.0055402228,"England","South East","West Sussex","Borough"
"Wrexham","Data received",49737,33532,70,10331,8899,145,"Con gain from Lab","Con",2131,15199,13068,1447,1222,445,0,2151,0,0,0,0,0,0,"Sarah Atherton",0.0635512346,570,0.6741862195,0.6657210498,0.6731083108,0.7035143642,-0.0293281447,"Wales","Wales","Clwyd","County"
"Wycombe",,78093,54756,168,,,,"Con hold","Con",4214,24766,20552,6543,0,1454,0,0,0,0,0,0,0,1441,"Steve Baker",0.0769596026,548,0.7011639968,0.7020660823,0.6731083108,0.6939302347,0.0072337621,"England","South East","Buckinghamshire","County"
"Wyre and Preston North",,74775,52924,200,,,,"Con hold","Con",16781,31589,14808,4463,0,1729,0,0,0,0,0,0,0,335,"Ben Wallace",0.3170773184,229,0.7077766633,0.6562356075,0.6731083108,0.7279691367,-0.0201924734,"England","North West","Lancashire","County"
"Wyre Forest","Data received. full results",78077,50561,257,12733,11152,325,"Con hold","Con",21413,32960,11547,4081,0,1973,0,0,0,0,0,0,0,0,"Mark Garnier",0.4235082376,97,0.6475786723,0.6466253903,0.6731083108,0.6575400602,-0.0099613879,"England","West Midlands","Hereford and Worcester","County"
"Wythenshawe and Sale East","FOI request sent to Wyre Borough Council. Awaiting response.",76313,44759,125,,,,"Lab hold","Lab",10396,13459,23855,3111,2717,1559,0,0,0,0,0,0,0,58,"Michael Kane",0.2322661364,331,0.5865186796,0.6562356075,0.6731083108,0.6003850133,-0.0138663336,"England","North West","Greater Manchester","Borough"
"Yeovil",,82468,59260,148,,,,"Con hold","Con",16181,34588,3761,18407,0,1629,0,0,0,0,0,0,0,875,"Marcus Fysh",0.2730509619,279,0.7185817529,0.7201911041,0.6731083108,0.716435911,0.0021458419,"England","South West","Somerset","County"
"Ynys Mon","Refused under Representation of the People Act 1983 by Isle of Anglesey Council",51925,36552,121,,,,"Con gain from Lab","Con",1968,12959,10991,0,2184,0,0,10418,0,0,0,0,0,0,"Virginia Crosbie",0.0538411031,581,0.7039383727,0.6657210498,0.6731083108,0.7060902099,-0.0021518373,"Wales","Wales","Gwynedd","County"
"York Central","FOI request sent to City of York Council. Awaiting response.",74899,49505,198,,,,"Lab hold","Lab",13545,13767,27312,4149,1479,2107,0,0,0,0,0,0,0,691,"Rachael Maskell",0.2736087264,278,0.6609567551,0.6434715273,0.6731083108,0.686645541,-0.0256887859,"England","Yorkshire and The Humber","North Yorkshire","Borough"
"York Outer","FOI request sent to City of York Council. Awaiting response.",74673,55347,228,,,,"Con hold","Con",9985,27324,17339,9992,0,0,0,0,0,0,0,0,0,692,"Julian Sturdy",0.1804072488,390,0.7411915954,0.6434715273,0.6731083108,0.7572624777,-0.0160708824,"England","Yorkshire and The Humber","North Yorkshire","County"
