"Constituency Name","Status","Total Electorate","Total Valid Votes","Total Invalid Votes","Registered to Postal Vote","Postal votes received","Spoiled Postal Votes","Result","First Party","majority","con","lab","ld","brexit","green","snp","pc","dup","sf","sdlp","uup","alliance","other","MP fullname","majority percent","majority rank","turnout constituency","turnout region","turnout UK","turnout 2017","turnout diff","country_name","region_name","county name","constituency type"
"Stockport","Refused under Representation of the People Act 1983",65391,41715,145,,,,"Lab hold","Lab",10039,11656,21695,5043,1918,1403,0,0,0,0,0,0,0,0,"Navendu Mishra",0.2406568381,319,0.6379318255,0.6562356075,0.6731083108,0.6467401457,-0.0088083202,"England","North West","Greater Manchester","Borough"
"Stockton North","Refused under Representation of the People Act 1983",66649,41156,116,,,,"Lab hold","Lab",1027,16701,17728,1631,3907,0,0,0,0,0,0,0,0,1189,"Alex Cunningham",0.0249538342,618,0.6175036385,0.6420708291,0.6731083108,0.6446556536,-0.0271520152,"England","North East","Cleveland","Borough"
"Stockton South","Refused under Representation of the People Act 1983",76870,54802,142,,,,"Con gain from Lab","Con",5260,27764,22504,2338,2196,0,0,0,0,0,0,0,0,0,"Matt Vickers",0.0959818985,520,0.7129179134,0.6420708291,0.6731083108,0.711722314,0.0011955993,"England","North East","Cleveland","Borough"
"Stoke-On-Trent Central",,55419,32070,67,,,,"Con gain from Lab Coop","Con",670,14557,13887,1116,1691,819,0,0,0,0,0,0,0,0,"Jo Gideon",0.0208917992,622,0.5786824013,0.6466253903,0.6731083108,0.5823596591,-0.0036772578,"England","West Midlands","Staffordshire","Borough"
"Stoke-On-Trent North",,68298,40134,96,,,,"Con gain from Lab","Con",6286,20974,14688,1268,2374,508,0,0,0,0,0,0,0,322,"Jonathan Gullis",0.1566253052,430,0.5876306773,0.6466253903,0.6731083108,0.58394589,0.0036847873,"England","West Midlands","Staffordshire","Borough"
"Stoke-On-Trent South",,64491,39604,171,,,,"Con hold","Con",11271,24632,13361,1611,0,0,0,0,0,0,0,0,0,0,"Jack Brereton",0.2845924654,268,0.6141011924,0.6466253903,0.6731083108,0.6311216071,-0.0170204147,"England","West Midlands","Staffordshire","Borough"
"Stone",,69378,49843,222,,,,"Con hold","Con",19945,31687,11742,4412,0,2002,0,0,0,0,0,0,0,0,"William Cash",0.4001564914,125,0.7184265906,0.6466253903,0.6731083108,0.7376739797,-0.0192473892,"England","West Midlands","Staffordshire","County"
"Stourbridge",,69891,45689,142,,,,"Con hold","Con",13571,27534,13963,2523,0,1048,0,0,0,0,0,0,0,621,"Suzanne Webb",0.2970299197,252,0.6537179322,0.6466253903,0.6731083108,0.6712953073,-0.0175773751,"England","West Midlands","West Midlands","Borough"
"Strangford","Found some info on EONI site. Waiting for full data.",66928,37485,175,603,,,"DUP hold","DUP",7071,1476,0,0,0,790,0,0,17705,555,1994,4023,10634,308,"Jim Shannon",0.1886354542,379,0.5600794884,0.617506111,0.6731083108,0.6023753634,-0.042295875,"Northern Ireland","Northern Ireland","Northern Ireland","County"
"Stratford-On-Avon",,74037,55048,273,,,,"Con hold","Con",19972,33343,6222,13371,0,2112,0,0,0,0,0,0,0,0,"Nadhim Zahawi",0.362810638,166,0.7435201318,0.6466253903,0.6731083108,0.7376398611,0.0058802707,"England","West Midlands","Warwickshire","County"
"Streatham",,84783,56513,178,,,,"Lab hold","Lab",17690,9060,30976,13286,624,2567,0,0,0,0,0,0,0,0,"Bell Ribeiro-Addy",0.3130253216,232,0.6665605133,0.6746963605,0.6731083108,0.709417793,-0.0428572797,"England","London","London","Borough"
"Stretford and Urmston",,72372,50067,155,,,,"Lab hold","Lab",16417,13778,30195,2969,1768,1357,0,0,0,0,0,0,0,0,"Kate Green",0.3279006132,216,0.6918006964,0.6562356075,0.6731083108,0.6987178595,-0.0069171631,"England","North West","Greater Manchester","Borough"
"Stroud",,84537,65930,185,,,,"Con gain from Lab Coop","Con",3840,31582,27742,0,1085,4954,0,0,0,0,0,0,0,567,"Siobhan Baillie",0.0582435917,573,0.7798951938,0.7201911041,0.6731083108,0.7703617861,0.0095334077,"England","South West","Gloucestershire","County"
"Suffolk Coastal",,81910,58308,199,,,,"Con hold","Con",20533,32958,12425,8719,0,2713,0,0,0,0,0,0,0,1493,"Thérèse Coffey",0.3521472182,182,0.7118544744,0.682459959,0.6731083108,0.731723912,-0.0198694376,"England","East","Suffolk","County"
"Sunderland Central","FOI request sent to Sunderland City Council. Awaiting response.",72680,43476,104,,,,"Lab hold","Lab",2964,15372,18336,3025,5047,1212,0,0,0,0,0,0,0,484,"Julie Elliott",0.0681755451,564,0.5981838195,0.6420708291,0.6731083108,0.6202700473,-0.0220862278,"England","North East","Tyne and Wear","Borough"
"Surrey Heath","Data received",81349,58654,237,14126,12179,"dont know","Con hold","Con",18349,34358,5407,16009,0,2252,0,0,0,0,0,0,0,628,"Michael Gove",0.3128345893,233,0.7210168533,0.7020660823,0.6731083108,0.7159377941,0.0050790592,"England","South East","Surrey","County"
"Sutton and Cheam","Data received",71779,50487,211,13246,11624,160,"Con hold","Con",8351,25235,7200,16884,0,1168,0,0,0,0,0,0,0,0,"Paul Scully",0.1654089171,418,0.7033672801,0.6746963605,0.6731083108,0.7381682859,-0.0348010058,"England","London","London","Borough"
"Sutton Coldfield",,75638,52325,312,,,,"Con hold","Con",19272,31604,12332,6358,0,2031,0,0,0,0,0,0,0,0,"Andrew Mitchell",0.3683134257,158,0.6917819086,0.6466253903,0.6731083108,0.6986993074,-0.0069173988,"England","West Midlands","West Midlands","Borough"
"Swansea East",,58450,33579,66,,,,"Lab hold","Lab",7970,9435,17405,1409,2842,583,0,1905,0,0,0,0,0,0,"Carolyn Harris",0.2373507252,325,0.574491018,0.6657210498,0.6731083108,0.6007928778,-0.0263018598,"Wales","Wales","West Glamorgan","Borough"
"Swansea West",,57078,35830,127,,,,"Lab hold","Lab",8116,10377,18493,2993,1983,0,0,1984,0,0,0,0,0,0,"Geraint Davies",0.2265140943,336,0.627737482,0.6657210498,0.6731083108,0.6553118189,-0.0275743368,"Wales","Wales","West Glamorgan","Borough"
"Tamworth","FOI request sent to Tamworth Borough Council. Awaiting response.",71572,46056,154,,,,"Con hold","Con",19634,30542,10908,2426,0,935,0,0,0,0,0,0,0,1245,"Christopher Pincher",0.4263071044,89,0.6434918683,0.6466253903,0.6731083108,0.660655186,-0.0171633176,"England","West Midlands","Staffordshire","County"
"Tatton",,69018,48967,179,,,,"Con hold","Con",17387,28277,10890,7712,0,2088,0,0,0,0,0,0,0,0,"Esther McVey",0.3550758674,178,0.7094815845,0.6562356075,0.6731083108,0.7236349707,-0.0141533862,"England","North West","Cheshire","County"
"Taunton Deane",,88676,63733,192,,,,"Con hold","Con",11700,34164,4715,22464,0,0,0,0,0,0,0,0,0,2390,"Rebecca Pow",0.183578366,385,0.7187175786,0.7201911041,0.6731083108,0.7378330622,-0.0191154836,"England","South West","Somerset","County"
"Telford","Data received",68921,42825,224,17560,14183,"they don't know","Con hold","Con",10941,25546,14605,2674,0,0,0,0,0,0,0,0,0,0,"Lucy Allan",0.2554816112,298,0.6213635902,0.6466253903,0.6731083108,0.6561242769,-0.0347606867,"England","West Midlands","Shropshire","Borough"
"Tewkesbury",,83958,61140,261,,,,"Con hold","Con",22410,35728,9310,13318,0,2784,0,0,0,0,0,0,0,0,"Laurence Robertson",0.3665358194,161,0.7282212535,0.7201911041,0.6731083108,0.7254911591,0.0027300943,"England","South West","Gloucestershire","County"
"The Cotswolds",,81939,61176,265,,,,"Con hold","Con",20214,35484,7110,15270,0,3312,0,0,0,0,0,0,0,0,"Geoffrey Clifton-Brown",0.3304236956,211,0.7466041812,0.7201911041,0.6731083108,0.7421099081,0.004494273,"England","South West","Gloucestershire","County"
"The Wrekin","Data received",70693,48890,194,17773,14919,"they don't know","Con hold","Con",18726,31029,12303,4067,0,1491,0,0,0,0,0,0,0,0,"Mark Pritchard",0.3830231131,141,0.6915819105,0.6466253903,0.6731083108,0.7218675296,-0.0302856191,"England","West Midlands","Shropshire","County"
"Thirsk and Malton",,80991,56588,242,,,,"Con hold","Con",25154,35634,10480,6774,0,2263,0,0,0,0,0,0,0,1437,"Kevin Hollinrake",0.4445112038,71,0.6986949167,0.6434715273,0.6731083108,0.7109317402,-0.0122368235,"England","Yorkshire and The Humber","North Yorkshire","County"
"Thornbury and Yate",,69492,52243,254,,,,"Con hold","Con",12369,30202,4208,17833,0,0,0,0,0,0,0,0,0,0,"Luke Hall",0.2367589916,327,0.7517843781,0.7201911041,0.6731083108,0.7466269958,0.0051573822,"England","South West","Avon","County"
"Thurrock","FOI request sent to Thurrock Borough Council. Awaiting response.",79659,47467,139,,,,"Con hold","Con",11482,27795,16313,1510,0,807,0,0,0,0,0,0,0,1042,"Jacqueline Doyle-Price",0.2418943687,318,0.5958774275,0.682459959,0.6731083108,0.6439209765,-0.048043549,"England","East","Essex","Borough"
"Tiverton and Honiton",,82953,59613,248,,,,"Con hold","Con",24239,35893,11654,8807,0,2291,0,0,0,0,0,0,0,968,"Neil Parish",0.4066059417,115,0.718635854,0.7201911041,0.6731083108,0.7161437366,0.0024921174,"England","South West","Devon","County"
"Tonbridge and Malling","FOI request sent to Tonbridge and Malling Borough Council. Awaiting response.",79278,57003,312,,,,"Con hold","Con",26941,35784,8286,8843,0,4090,0,0,0,0,0,0,0,0,"Thomas Tugendhat",0.4726242478,52,0.7190267161,0.7020660823,0.6731083108,0.7350711084,-0.0160443923,"England","South East","Kent","County"
"Tooting",,76954,58473,177,,,,"Lab hold","Lab",14307,16504,30811,8305,462,2314,0,0,0,0,0,0,0,77,"Rosena Allin-Khan",0.2446770304,312,0.7598435429,0.6746963605,0.6731083108,0.7460594324,0.0137841105,"England","London","London","Borough"
"Torbay","FOI request sent to Torbay Borough Council. Awaiting response.",75054,50426,141,,,,"Con hold","Con",17749,29863,6562,12114,0,1239,0,0,0,0,0,0,0,648,"Kevin Foster",0.3519811209,184,0.6718629254,0.7201911041,0.6731083108,0.6739539845,-0.0020910592,"England","South West","Devon","Borough"
"Torfaen","Data received",62330,37176,126,11735,9376,126,"Lab hold","Lab",3742,11804,15546,1831,5742,812,0,1441,0,0,0,0,0,0,"Nick Thomas-Symonds",0.1006563374,507,0.5964383122,0.6657210498,0.6731083108,0.6214363104,-0.0249979982,"Wales","Wales","Gwent and Mid Glamorgan","County"
"Torridge and West Devon","Data received",80403,59730,233,12991,11464,257,"Con hold","Con",24992,35904,10290,10912,0,2077,0,0,0,0,0,0,0,547,"Geoffrey Cox",0.4184162063,101,0.7428827283,0.7201911041,0.6731083108,0.7386617654,0.0042209628,"England","South West","Devon","County"
"Totnes",,69863,52182,196,,,,"Con hold","Con",12724,27751,8860,15027,0,0,0,0,0,0,0,0,0,544,"Anthony Mangnall",0.2438388716,314,0.74691897,0.7201911041,0.6731083108,0.7294599066,0.0174590634,"England","South West","Devon","County"
"Tottenham",,75740,46856,204,,,,"Lab hold","Lab",30175,5446,35621,3168,527,1873,0,0,0,0,0,0,0,221,"David Lammy",0.6439943657,8,0.6186427251,0.6746963605,0.6731083108,0.6769524175,-0.0583096924,"England","London","London","Borough"
"Truro and Falmouth",,76719,59190,171,,,,"Con hold","Con",4561,27237,22676,7150,0,1714,0,0,0,0,0,0,0,413,"Cherilyn Mackrory",0.0770569353,547,0.7715168342,0.7201911041,0.6731083108,0.7584992569,0.0130175773,"England","South West","Cornwall","County"
"Tunbridge Wells","Data received",74823,54650,321,14313,12344,193,"Con hold","Con",14645,30119,8098,15474,0,0,0,0,0,0,0,0,0,959,"Gregory Clark",0.2679780421,282,0.730390388,0.7020660823,0.6731083108,0.724893691,0.005496697,"England","South East","Kent","County"
"Twickenham","Data received",84906,64503,239,16541,14560,181,"LD hold","LD",14121,22045,5476,36166,816,0,0,0,0,0,0,0,0,0,"Munira Wilson",0.2189200502,344,0.7596989612,0.6746963605,0.6731083108,0.795206449,-0.0355074878,"England","London","London","Borough"
"Tynemouth","Data received",77261,56034,179,19262,17056,256,"Lab hold","Lab",4857,22071,26928,3791,1963,1281,0,0,0,0,0,0,0,0,"Alan Campbell",0.086679516,534,0.7252559506,0.6420708291,0.6731083108,0.7342769326,-0.009020982,"England","North East","Tyne and Wear","Borough"
"Upper Bann","Found some info on EONI site. Waiting for full data.",82887,50045,303,827,,,"DUP hold","DUP",8210,0,0,0,0,0,0,0,20501,12291,4623,6197,6433,0,"Carla Lockhart",0.1640523529,421,0.6037738125,0.617506111,0.6731083108,0.6393822972,-0.0356084846,"Northern Ireland","Northern Ireland","Northern Ireland","County"
"Uxbridge and South Ruislip",,70365,48187,93,,,,"Con hold","Con",7210,25351,18141,3026,0,1090,0,0,0,0,0,0,0,579,"Boris Johnson",0.1496254176,436,0.6848148938,0.6746963605,0.6731083108,0.6676675818,0.017147312,"England","London","London","Borough"
"Vale Of Clwyd",,56649,37213,84,,,,"Con gain from Lab","Con",1827,17270,15443,1471,1477,0,0,1552,0,0,0,0,0,0,"James Davies",0.0490957461,585,0.6569047997,0.6657210498,0.6731083108,0.6799789067,-0.0230741069,"Wales","Wales","Clwyd","County"
"Vale Of Glamorgan","FOI request sent to Vale of Glamorgan Council. Awaiting response.",76508,54807,294,,,,"Con hold","Con",3562,27305,23743,0,0,3251,0,0,0,0,0,0,0,508,"Alun Cairns",0.0649916981,567,0.7163564595,0.6657210498,0.6731083108,0.7263213402,-0.0099648807,"Wales","Wales","South Glamorgan","County"
"Vauxhall",,88659,56333,236,,,,"Lab hold","Lab",19612,9422,31615,12003,641,2516,0,0,0,0,0,0,0,136,"Florence Eshalomi",0.3481440719,189,0.6353895262,0.6746963605,0.6731083108,0.6707939796,-0.0354044535,"England","London","London","Borough"
"Wakefield",,70192,45027,137,,,,"Con gain from Lab","Con",3358,21283,17925,1772,2725,0,0,0,0,0,0,0,0,1322,"Imran Ahmad Khan",0.0745774757,554,0.6414833599,0.6434715273,0.6731083108,0.6580039807,-0.0165206207,"England","Yorkshire and The Humber","West Yorkshire","County"
"Wallasey",,66310,46492,102,,,,"Lab hold","Lab",18322,11579,29901,1843,2037,1132,0,0,0,0,0,0,0,0,"Angela Eagle",0.3940893057,130,0.7011310511,0.6562356075,0.6731083108,0.7168292466,-0.0156981955,"England","North West","Merseyside","Borough"
"Walsall North","Data received",67177,36556,125,8473,7015,259,"Con hold","Con",11965,23334,11369,1236,0,617,0,0,0,0,0,0,0,0,"Eddie Hughes",0.327306051,220,0.5441743454,0.6466253903,0.6731083108,0.5663219825,-0.0221476371,"England","West Midlands","West Midlands","Borough"
"Walsall South","Data received",68024,42472,115,8532,7306,421,"Lab hold","Lab",3456,17416,20872,1602,1660,634,0,0,0,0,0,0,0,288,"Valerie Vaz",0.0813712564,542,0.6243678702,0.6466253903,0.6731083108,0.6537223549,-0.0293544847,"England","West Midlands","West Midlands","Borough"
"Walthamstow",,70267,48335,206,,,,"Lab hold","Lab",30862,5922,36784,2874,768,1733,0,0,0,0,0,0,0,254,"Stella Creasy",0.6385021206,9,0.6878762435,0.6746963605,0.6731083108,0.708433274,-0.0205570305,"England","London","London","County"
